mono_x	mono_y	tet_x	tet_y	cubic_x	cubic_y
0 0 0 0 0 0
11.601952	4.484185	11.645336	0.170988	11.626557	0.009267
11.651952	4.311626	11.695336	0.269597	11.676557	0.029236
11.701952	4.049445	11.745336	0.46404	11.726557	0.073166
11.751952	3.755519	11.795336	0.786854	11.776557	0.149665
11.801952	3.542104	11.845336	1.217438	11.826557	0.258182
11.851952	3.530388	11.895336	1.687888	11.876557	0.38896
11.901952	3.765927	11.945336	2.142005	11.926557	0.532718
11.951952	4.179346	11.995336	2.582325	11.976557	0.694193
12.001952	4.640515	12.045336	3.058805	12.026557	0.911799
12.051952	5.032856	12.095336	3.612381	12.076557	1.289253
12.101952	5.273831	12.145336	4.204261	12.126557	1.997712
12.151952	5.329252	12.195336	4.6873	12.176557	3.182229
12.201952	5.237825	12.245336	4.899647	12.226557	4.826058
12.251952	5.073951	12.295336	4.829819	12.276557	6.733707
12.301952	4.882919	12.345336	4.640354	12.326557	8.627727
12.351952	4.692751	12.395336	4.509441	12.376557	10.208577
12.401952	4.556679	12.445336	4.516423	12.426557	11.21121
12.451952	4.52535	12.495336	4.653897	12.476557	11.519201
12.501952	4.594985	12.545336	4.826583	12.526557	11.183119
12.551952	4.716884	12.595336	4.836515	12.576557	10.3539
12.601952	4.842023	12.645336	4.490272	12.626557	9.28963
12.651952	4.931756	12.695336	3.777697	12.676557	8.300663
12.701952	4.940367	12.745336	2.898879	12.726557	7.582382
12.751952	4.835326	12.795336	2.088738	12.776557	7.17071
12.801952	4.64289	12.845336	1.453902	12.826557	7.007763
12.851952	4.427354	12.895336	0.980098	12.876557	6.965126
12.901952	4.214192	12.945336	0.626273	12.926557	6.864666
12.951952	3.961432	12.995336	0.371358	12.976557	6.521055
13.001952	3.601784	13.045336	0.202507	13.026557	5.771335
13.051952	3.098522	13.095336	0.100623	13.076557	4.558269
13.101952	2.477126	13.145336	0.044306	13.126557	3.064891
13.151952	1.817278	13.195336	0.016551	13.176557	1.680741
13.201952	1.210677	13.245336	0.005366	13.226557	0.726296
13.251952	0.721822	13.295336	0.003636	13.276557	0.24092
13.301952	0.376436	13.345336	0.011744	13.326557	0.060138
13.351952	0.166649	13.395336	0.042991	13.376557	0.011126
13.401952	0.060632	13.445336	0.132333	13.426557	0.001508
13.451952	0.017587	13.495336	0.342242	13.476557	0.000148
13.501952	0.003962	13.545336	0.736199	13.526557	0.000011
13.551952	0.000678	13.595336	1.290758	13.576557	0.000001
13.601952	0.000087	13.645336	1.822125	13.626557	0
13.651952	0.000008	13.695336	2.082721	13.676557	0
13.701952	0.000001	13.745336	1.97684	13.726557	0
13.751952	0	13.795336	1.62817	13.776557	0.000001
13.801952	0	13.845336	1.23813	13.826557	0.000018
13.851952	0	13.895336	0.940098	13.876557	0.00018
13.901952	0	13.945336	0.767716	13.926557	0.001289
		13.995336	0.692132	13.976557	0.006726
		14.045336	0.669492	14.026557	0.026014
		14.095336	0.666951	14.076557	0.076354
		14.145336	0.660606	14.126557	0.176143
		14.195336	0.630226	14.176557	0.335808
		14.245336	0.567041	14.226557	0.567407
		14.295336	0.480482	14.276557	0.920625
		14.345336	0.39296	14.326557	1.496706
		14.395336	0.324674	14.376557	2.36116
		14.445336	0.277431	14.426557	3.400535
		14.495336	0.23921	14.476557	4.320796
		14.545336	0.205324	14.526557	4.82413
		14.595336	0.180091	14.576557	4.765017
		14.645336	0.161131	14.626557	4.198678
		14.695336	0.140488	14.676557	3.357761
		14.745336	0.117886	14.726557	2.527201
		14.795336	0.099409	14.776557	1.876757
		14.845336	0.086495	14.826557	1.417734
		14.895336	0.07489	14.876557	1.088439
		14.945336	0.062258	14.926557	0.831635
		14.995336	0.050865	14.976557	0.61076
		15.045336	0.042674	15.026557	0.409341
		15.095336	0.036193	15.076557	0.235841
		15.145336	0.029565	15.126557	0.110981
		15.195336	0.02339	15.176557	0.041165
		15.245336	0.018998	15.226557	0.011768
		15.295336	0.01601	15.276557	0.002556
		15.345336	0.012858	15.326557	0.000417
		15.395336	0.009022	15.376557	0.000051
		15.445336	0.005646	15.426557	0.000005
		15.495336	0.003747	15.476557	0
		15.545336	0.002887	15.526557	0
		15.595336	0.002115	15.576557	0
		15.645336	0.001213	15.626557	0
		15.695336	0.000506	15.676557	0
		15.745336	0.00015		
		15.795336	0.000032		
		15.845336	0.000005		
		15.895336	0		
		15.945336	0		
		15.995336	0		
		16.045336	0		
		16.095336	0		
		16.145336	0		
