distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
1.54E-04	1.58E-03	-3.06E-04	1.29E-03	-2.73E-04	4.99E-07	5.52E-08	5.86E-07	6.13E-08
1.56E-04	1.60E-03	-3.10E-04	1.31E-03	-2.77E-04	5.10E-07	5.66E-08	6.00E-07	6.28E-08
1.58E-04	1.62E-03	-3.14E-04	1.32E-03	-2.80E-04	5.22E-07	5.80E-08	6.13E-07	6.44E-08
1.60E-04	1.64E-03	-3.17E-04	1.34E-03	-2.84E-04	5.34E-07	5.95E-08	6.28E-07	6.60E-08
1.62E-04	1.66E-03	-3.21E-04	1.36E-03	-2.87E-04	5.46E-07	6.09E-08	6.42E-07	6.76E-08
1.64E-04	1.68E-03	-3.25E-04	1.37E-03	-2.91E-04	5.58E-07	6.24E-08	6.56E-07	6.93E-08
1.66E-04	1.70E-03	-3.29E-04	1.39E-03	-2.94E-04	5.71E-07	6.39E-08	6.71E-07	7.10E-08
1.68E-04	1.72E-03	-3.33E-04	1.41E-03	-2.98E-04	5.84E-07	6.55E-08	6.86E-07	7.27E-08
1.70E-04	1.74E-03	-3.37E-04	1.42E-03	-3.01E-04	5.96E-07	6.70E-08	7.01E-07	7.44E-08
1.72E-04	1.76E-03	-3.41E-04	1.44E-03	-3.05E-04	6.09E-07	6.86E-08	7.16E-07	7.62E-08
1.74E-04	1.78E-03	-3.45E-04	1.46E-03	-3.08E-04	6.23E-07	7.02E-08	7.32E-07	7.80E-08
1.76E-04	1.80E-03	-3.49E-04	1.47E-03	-3.12E-04	6.36E-07	7.19E-08	7.47E-07	7.98E-08
1.78E-04	1.82E-03	-3.53E-04	1.49E-03	-3.15E-04	6.50E-07	7.35E-08	7.63E-07	8.16E-08
1.80E-04	1.84E-03	-3.57E-04	1.51E-03	-3.19E-04	6.63E-07	7.52E-08	7.80E-07	8.35E-08
1.82E-04	1.86E-03	-3.61E-04	1.52E-03	-3.23E-04	6.77E-07	7.69E-08	7.96E-07	8.54E-08
1.84E-04	1.88E-03	-3.65E-04	1.54E-03	-3.26E-04	6.92E-07	7.87E-08	8.13E-07	8.74E-08
1.86E-04	1.90E-03	-3.69E-04	1.56E-03	-3.30E-04	7.06E-07	8.05E-08	8.30E-07	8.93E-08
1.88E-04	1.92E-03	-3.73E-04	1.57E-03	-3.34E-04	7.20E-07	8.23E-08	8.47E-07	9.13E-08
1.90E-04	1.94E-03	-3.78E-04	1.59E-03	-3.37E-04	7.35E-07	8.41E-08	8.64E-07	9.34E-08
1.93E-04	1.97E-03	-3.82E-04	1.61E-03	-3.41E-04	7.50E-07	8.59E-08	8.81E-07	9.54E-08
1.95E-04	1.99E-03	-3.86E-04	1.63E-03	-3.45E-04	7.65E-07	8.78E-08	8.99E-07	9.75E-08
1.97E-04	2.01E-03	-3.90E-04	1.64E-03	-3.48E-04	7.81E-07	8.97E-08	9.17E-07	9.96E-08
1.99E-04	2.03E-03	-3.94E-04	1.66E-03	-3.52E-04	7.96E-07	9.17E-08	9.36E-07	1.02E-07
2.01E-04	2.05E-03	-3.98E-04	1.68E-03	-3.56E-04	8.12E-07	9.36E-08	9.54E-07	1.04E-07
2.03E-04	2.07E-03	-4.03E-04	1.70E-03	-3.60E-04	8.28E-07	9.56E-08	9.73E-07	1.06E-07
2.05E-04	2.10E-03	-4.07E-04	1.72E-03	-3.64E-04	8.44E-07	9.77E-08	9.92E-07	1.08E-07
2.07E-04	2.12E-03	-4.11E-04	1.73E-03	-3.67E-04	8.60E-07	9.97E-08	1.01E-06	1.11E-07
2.10E-04	2.14E-03	-4.15E-04	1.75E-03	-3.71E-04	8.77E-07	1.02E-07	1.03E-06	1.13E-07
2.12E-04	2.16E-03	-4.20E-04	1.77E-03	-3.75E-04	8.94E-07	1.04E-07	1.05E-06	1.15E-07
2.14E-04	2.18E-03	-4.24E-04	1.79E-03	-3.79E-04	9.11E-07	1.06E-07	1.07E-06	1.18E-07
2.16E-04	2.21E-03	-4.28E-04	1.81E-03	-3.83E-04	9.28E-07	1.08E-07	1.09E-06	1.20E-07
2.18E-04	2.23E-03	-4.33E-04	1.82E-03	-3.87E-04	9.46E-07	1.10E-07	1.11E-06	1.23E-07
2.21E-04	2.25E-03	-4.37E-04	1.84E-03	-3.91E-04	9.63E-07	1.13E-07	1.13E-06	1.25E-07
2.23E-04	2.27E-03	-4.41E-04	1.86E-03	-3.94E-04	9.81E-07	1.15E-07	1.15E-06	1.28E-07
2.25E-04	2.30E-03	-4.46E-04	1.88E-03	-3.98E-04	9.99E-07	1.17E-07	1.17E-06	1.30E-07
2.27E-04	2.32E-03	-4.50E-04	1.90E-03	-4.02E-04	1.02E-06	1.20E-07	1.20E-06	1.33E-07
2.29E-04	2.34E-03	-4.55E-04	1.92E-03	-4.06E-04	1.04E-06	1.22E-07	1.22E-06	1.35E-07
2.32E-04	2.36E-03	-4.59E-04	1.94E-03	-4.10E-04	1.06E-06	1.24E-07	1.24E-06	1.38E-07
2.34E-04	2.39E-03	-4.64E-04	1.95E-03	-4.14E-04	1.07E-06	1.27E-07	1.26E-06	1.41E-07
2.36E-04	2.41E-03	-4.68E-04	1.97E-03	-4.18E-04	1.09E-06	1.29E-07	1.29E-06	1.44E-07
2.38E-04	2.43E-03	-4.73E-04	1.99E-03	-4.22E-04	1.11E-06	1.32E-07	1.31E-06	1.46E-07
