distance	Zr_AE_s1	Zr_pp_s1	Zr_AE_s2	Zr_pp_s2	Zr_AE_p1	Zr_pp_p1	Zr_AE_p2	Zr_pp_p2	Zr_AE_d1	Zr_pp_d1	Zr_AE_d2	Zr_pp_d2
1.56E-05	5.73E-04	-3.35E-05	2.09E-04	-1.57E-05	2.71E-07	3.79E-10	1.26E-07	1.89E-10	6.85E-12	-2.77E-15	7.24E-12	-2.98E-15
1.60E-05	5.85E-04	-3.42E-05	2.13E-04	-1.61E-05	2.82E-07	3.95E-10	1.31E-07	1.97E-10	7.25E-12	-2.95E-15	7.66E-12	-3.16E-15
1.63E-05	5.96E-04	-3.49E-05	2.17E-04	-1.64E-05	2.92E-07	4.11E-10	1.36E-07	2.05E-10	7.67E-12	-3.13E-15	8.10E-12	-3.36E-15
1.66E-05	6.08E-04	-3.56E-05	2.21E-04	-1.67E-05	3.03E-07	4.28E-10	1.41E-07	2.13E-10	8.10E-12	-3.33E-15	8.55E-12	-3.57E-15
1.69E-05	6.20E-04	-3.63E-05	2.26E-04	-1.70E-05	3.14E-07	4.45E-10	1.46E-07	2.22E-10	8.55E-12	-3.53E-15	9.03E-12	-3.78E-15
1.73E-05	6.31E-04	-3.71E-05	2.30E-04	-1.74E-05	3.25E-07	4.62E-10	1.51E-07	2.31E-10	9.01E-12	-3.74E-15	9.52E-12	-4.01E-15
1.76E-05	6.43E-04	-3.78E-05	2.34E-04	-1.77E-05	3.36E-07	4.80E-10	1.56E-07	2.39E-10	9.50E-12	-3.96E-15	1.00E-11	-4.24E-15
1.79E-05	6.55E-04	-3.85E-05	2.38E-04	-1.80E-05	3.48E-07	4.99E-10	1.62E-07	2.49E-10	1.00E-11	-4.18E-15	1.06E-11	-4.49E-15
1.83E-05	6.67E-04	-3.92E-05	2.43E-04	-1.84E-05	3.60E-07	5.17E-10	1.67E-07	2.58E-10	1.05E-11	-4.42E-15	1.11E-11	-4.74E-15
1.86E-05	6.78E-04	-3.99E-05	2.47E-04	-1.87E-05	3.72E-07	5.37E-10	1.73E-07	2.67E-10	1.11E-11	-4.67E-15	1.17E-11	-5.01E-15
1.89E-05	6.90E-04	-4.06E-05	2.51E-04	-1.90E-05	3.84E-07	5.56E-10	1.78E-07	2.77E-10	1.16E-11	-4.93E-15	1.23E-11	-5.29E-15
1.93E-05	7.02E-04	-4.14E-05	2.56E-04	-1.94E-05	3.96E-07	5.76E-10	1.84E-07	2.87E-10	1.22E-11	-5.20E-15	1.29E-11	-5.58E-15
1.96E-05	7.14E-04	-4.21E-05	2.60E-04	-1.97E-05	4.09E-07	5.97E-10	1.90E-07	2.97E-10	1.28E-11	-5.48E-15	1.35E-11	-5.88E-15
2.00E-05	7.26E-04	-4.28E-05	2.64E-04	-2.01E-05	4.22E-07	6.17E-10	1.96E-07	3.08E-10	1.34E-11	-5.77E-15	1.42E-11	-6.19E-15
2.03E-05	7.38E-04	-4.35E-05	2.69E-04	-2.04E-05	4.35E-07	6.39E-10	2.02E-07	3.18E-10	1.40E-11	-6.07E-15	1.48E-11	-6.51E-15
2.06E-05	7.50E-04	-4.43E-05	2.73E-04	-2.08E-05	4.48E-07	6.61E-10	2.08E-07	3.29E-10	1.47E-11	-6.38E-15	1.55E-11	-6.85E-15
2.10E-05	7.63E-04	-4.50E-05	2.78E-04	-2.11E-05	4.61E-07	6.83E-10	2.15E-07	3.40E-10	1.54E-11	-6.71E-15	1.62E-11	-7.20E-15
2.13E-05	7.75E-04	-4.58E-05	2.82E-04	-2.15E-05	4.75E-07	7.06E-10	2.21E-07	3.52E-10	1.61E-11	-7.04E-15	1.70E-11	-7.56E-15
2.17E-05	7.87E-04	-4.65E-05	2.87E-04	-2.18E-05	4.89E-07	7.29E-10	2.27E-07	3.63E-10	1.68E-11	-7.39E-15	1.77E-11	-7.93E-15
2.20E-05	7.99E-04	-4.73E-05	2.91E-04	-2.22E-05	5.03E-07	7.53E-10	2.34E-07	3.75E-10	1.76E-11	-7.76E-15	1.85E-11	-8.32E-15
2.24E-05	8.12E-04	-4.80E-05	2.96E-04	-2.25E-05	5.18E-07	7.77E-10	2.41E-07	3.87E-10	1.83E-11	-8.13E-15	1.94E-11	-8.73E-15
2.27E-05	8.24E-04	-4.88E-05	3.00E-04	-2.29E-05	5.32E-07	8.01E-10	2.47E-07	3.99E-10	1.91E-11	-8.52E-15	2.02E-11	-9.15E-15
2.31E-05	8.36E-04	-4.95E-05	3.05E-04	-2.32E-05	5.47E-07	8.26E-10	2.54E-07	4.12E-10	1.99E-11	-8.93E-15	2.11E-11	-9.58E-15
2.34E-05	8.49E-04	-5.03E-05	3.09E-04	-2.36E-05	5.62E-07	8.52E-10	2.61E-07	4.25E-10	2.08E-11	-9.35E-15	2.19E-11	-1.00E-14
2.38E-05	8.61E-04	-5.11E-05	3.14E-04	-2.39E-05	5.78E-07	8.78E-10	2.68E-07	4.38E-10	2.16E-11	-9.78E-15	2.29E-11	-1.05E-14
2.42E-05	8.74E-04	-5.18E-05	3.18E-04	-2.43E-05	5.93E-07	9.05E-10	2.76E-07	4.51E-10	2.25E-11	-1.02E-14	2.38E-11	-1.10E-14
2.45E-05	8.86E-04	-5.26E-05	3.23E-04	-2.47E-05	6.09E-07	9.32E-10	2.83E-07	4.65E-10	2.35E-11	-1.07E-14	2.48E-11	-1.15E-14
2.49E-05	8.99E-04	-5.34E-05	3.27E-04	-2.50E-05	6.25E-07	9.60E-10	2.90E-07	4.78E-10	2.44E-11	-1.12E-14	2.58E-11	-1.20E-14
2.52E-05	9.11E-04	-5.41E-05	3.32E-04	-2.54E-05	6.41E-07	9.88E-10	2.98E-07	4.92E-10	2.54E-11	-1.17E-14	2.68E-11	-1.25E-14
2.56E-05	9.24E-04	-5.49E-05	3.37E-04	-2.57E-05	6.57E-07	1.02E-09	3.06E-07	5.07E-10	2.64E-11	-1.22E-14	2.79E-11	-1.31E-14
2.60E-05	9.37E-04	-5.57E-05	3.41E-04	-2.61E-05	6.74E-07	1.05E-09	3.13E-07	5.21E-10	2.74E-11	-1.27E-14	2.90E-11	-1.36E-14
2.63E-05	9.50E-04	-5.65E-05	3.46E-04	-2.65E-05	6.91E-07	1.08E-09	3.21E-07	5.36E-10	2.85E-11	-1.33E-14	3.01E-11	-1.42E-14
2.67E-05	9.62E-04	-5.73E-05	3.50E-04	-2.69E-05	7.08E-07	1.11E-09	3.29E-07	5.51E-10	2.96E-11	-1.38E-14	3.12E-11	-1.48E-14
2.71E-05	9.75E-04	-5.81E-05	3.55E-04	-2.72E-05	7.26E-07	1.14E-09	3.37E-07	5.67E-10	3.07E-11	-1.44E-14	3.24E-11	-1.55E-14
2.74E-05	9.88E-04	-5.89E-05	3.60E-04	-2.76E-05	7.43E-07	1.17E-09	3.46E-07	5.82E-10	3.18E-11	-1.50E-14	3.36E-11	-1.61E-14
2.78E-05	1.00E-03	-5.97E-05	3.65E-04	-2.80E-05	7.61E-07	1.20E-09	3.54E-07	5.98E-10	3.30E-11	-1.56E-14	3.49E-11	-1.68E-14
2.82E-05	1.01E-03	-6.05E-05	3.69E-04	-2.84E-05	7.80E-07	1.23E-09	3.62E-07	6.15E-10	3.42E-11	-1.63E-14	3.61E-11	-1.74E-14
2.86E-05	1.03E-03	-6.13E-05	3.74E-04	-2.87E-05	7.98E-07	1.27E-09	3.71E-07	6.31E-10	3.55E-11	-1.69E-14	3.75E-11	-1.82E-14
2.89E-05	1.04E-03	-6.21E-05	3.79E-04	-2.91E-05	8.17E-07	1.30E-09	3.80E-07	6.48E-10	3.67E-11	-1.76E-14	3.88E-11	-1.89E-14
2.93E-05	1.05E-03	-6.29E-05	3.84E-04	-2.95E-05	8.36E-07	1.33E-09	3.88E-07	6.65E-10	3.80E-11	-1.83E-14	4.02E-11	-1.96E-14
2.97E-05	1.07E-03	-6.37E-05	3.88E-04	-2.99E-05	8.55E-07	1.37E-09	3.97E-07	6.82E-10	3.94E-11	-1.90E-14	4.16E-11	-2.04E-14
3.01E-05	1.08E-03	-6.46E-05	3.93E-04	-3.03E-05	8.74E-07	1.40E-09	4.06E-07	7.00E-10	4.08E-11	-1.98E-14	4.31E-11	-2.12E-14
3.05E-05	1.09E-03	-6.54E-05	3.98E-04	-3.07E-05	8.94E-07	1.44E-09	4.15E-07	7.18E-10	4.22E-11	-2.05E-14	4.46E-11	-2.20E-14
3.09E-05	1.11E-03	-6.62E-05	4.03E-04	-3.10E-05	9.14E-07	1.48E-09	4.25E-07	7.36E-10	4.36E-11	-2.13E-14	4.61E-11	-2.29E-14
3.13E-05	1.12E-03	-6.70E-05	4.08E-04	-3.14E-05	9.34E-07	1.51E-09	4.34E-07	7.55E-10	4.51E-11	-2.21E-14	4.77E-11	-2.38E-14
3.16E-05	1.13E-03	-6.79E-05	4.13E-04	-3.18E-05	9.54E-07	1.55E-09	4.44E-07	7.74E-10	4.66E-11	-2.30E-14	4.93E-11	-2.47E-14
3.20E-05	1.15E-03	-6.87E-05	4.18E-04	-3.22E-05	9.75E-07	1.59E-09	4.53E-07	7.93E-10	4.82E-11	-2.38E-14	5.09E-11	-2.56E-14
3.24E-05	1.16E-03	-6.96E-05	4.22E-04	-3.26E-05	9.96E-07	1.63E-09	4.63E-07	8.13E-10	4.98E-11	-2.47E-14	5.26E-11	-2.65E-14
3.28E-05	1.17E-03	-7.04E-05	4.27E-04	-3.30E-05	1.02E-06	1.67E-09	4.73E-07	8.33E-10	5.14E-11	-2.56E-14	5.43E-11	-2.75E-14
3.32E-05	1.19E-03	-7.13E-05	4.32E-04	-3.34E-05	1.04E-06	1.71E-09	4.83E-07	8.53E-10	5.31E-11	-2.66E-14	5.61E-11	-2.85E-14
3.36E-05	1.20E-03	-7.21E-05	4.37E-04	-3.38E-05	1.06E-06	1.75E-09	4.93E-07	8.73E-10	5.48E-11	-2.76E-14	5.79E-11	-2.96E-14
3.40E-05	1.21E-03	-7.30E-05	4.42E-04	-3.42E-05	1.08E-06	1.79E-09	5.03E-07	8.94E-10	5.66E-11	-2.85E-14	5.98E-11	-3.06E-14
3.44E-05	1.23E-03	-7.38E-05	4.47E-04	-3.46E-05	1.11E-06	1.84E-09	5.14E-07	9.15E-10	5.84E-11	-2.96E-14	6.17E-11	-3.17E-14
3.48E-05	1.24E-03	-7.47E-05	4.52E-04	-3.50E-05	1.13E-06	1.88E-09	5.24E-07	9.37E-10	6.02E-11	-3.06E-14	6.36E-11	-3.28E-14
3.52E-05	1.26E-03	-7.56E-05	4.57E-04	-3.54E-05	1.15E-06	1.92E-09	5.35E-07	9.59E-10	6.21E-11	-3.17E-14	6.56E-11	-3.40E-14
3.56E-05	1.27E-03	-7.64E-05	4.62E-04	-3.58E-05	1.17E-06	1.97E-09	5.46E-07	9.81E-10	6.40E-11	-3.28E-14	6.76E-11	-3.52E-14
3.60E-05	1.28E-03	-7.73E-05	4.67E-04	-3.62E-05	1.20E-06	2.01E-09	5.57E-07	1.00E-09	6.60E-11	-3.39E-14	6.97E-11	-3.64E-14
3.64E-05	1.30E-03	-7.82E-05	4.73E-04	-3.66E-05	1.22E-06	2.06E-09	5.68E-07	1.03E-09	6.80E-11	-3.51E-14	7.19E-11	-3.77E-14
3.69E-05	1.31E-03	-7.91E-05	4.78E-04	-3.71E-05	1.25E-06	2.11E-09	5.79E-07	1.05E-09	7.01E-11	-3.63E-14	7.40E-11	-3.90E-14
3.73E-05	1.33E-03	-7.99E-05	4.83E-04	-3.75E-05	1.27E-06	2.15E-09	5.90E-07	1.07E-09	7.22E-11	-3.75E-14	7.63E-11	-4.03E-14
3.77E-05	1.34E-03	-8.08E-05	4.88E-04	-3.79E-05	1.29E-06	2.20E-09	6.02E-07	1.10E-09	7.44E-11	-3.88E-14	7.86E-11	-4.16E-14
3.81E-05	1.35E-03	-8.17E-05	4.93E-04	-3.83E-05	1.32E-06	2.25E-09	6.13E-07	1.12E-09	7.66E-11	-4.01E-14	8.09E-11	-4.30E-14
3.85E-05	1.37E-03	-8.26E-05	4.98E-04	-3.87E-05	1.34E-06	2.30E-09	6.25E-07	1.15E-09	7.88E-11	-4.14E-14	8.33E-11	-4.45E-14
3.89E-05	1.38E-03	-8.35E-05	5.04E-04	-3.92E-05	1.37E-06	2.35E-09	6.37E-07	1.17E-09	8.11E-11	-4.28E-14	8.57E-11	-4.59E-14
3.94E-05	1.40E-03	-8.44E-05	5.09E-04	-3.96E-05	1.40E-06	2.40E-09	6.49E-07	1.20E-09	8.35E-11	-4.42E-14	8.82E-11	-4.74E-14
3.98E-05	1.41E-03	-8.53E-05	5.14E-04	-4.00E-05	1.42E-06	2.45E-09	6.61E-07	1.22E-09	8.59E-11	-4.57E-14	9.08E-11	-4.90E-14
4.02E-05	1.43E-03	-8.62E-05	5.19E-04	-4.04E-05	1.45E-06	2.51E-09	6.74E-07	1.25E-09	8.84E-11	-4.71E-14	9.34E-11	-5.06E-14
4.06E-05	1.44E-03	-8.72E-05	5.25E-04	-4.09E-05	1.48E-06	2.56E-09	6.86E-07	1.28E-09	9.09E-11	-4.87E-14	9.60E-11	-5.22E-14
4.11E-05	1.45E-03	-8.81E-05	5.30E-04	-4.13E-05	1.50E-06	2.61E-09	6.99E-07	1.30E-09	9.35E-11	-5.02E-14	9.87E-11	-5.39E-14
4.15E-05	1.47E-03	-8.90E-05	5.35E-04	-4.17E-05	1.53E-06	2.67E-09	7.11E-07	1.33E-09	9.61E-11	-5.18E-14	1.02E-10	-5.56E-14
4.19E-05	1.48E-03	-8.99E-05	5.40E-04	-4.22E-05	1.56E-06	2.72E-09	7.24E-07	1.36E-09	9.88E-11	-5.34E-14	1.04E-10	-5.73E-14
4.24E-05	1.50E-03	-9.09E-05	5.46E-04	-4.26E-05	1.59E-06	2.78E-09	7.37E-07	1.39E-09	1.02E-10	-5.51E-14	1.07E-10	-5.91E-14
4.28E-05	1.51E-03	-9.18E-05	5.51E-04	-4.30E-05	1.61E-06	2.84E-09	7.51E-07	1.42E-09	1.04E-10	-5.68E-14	1.10E-10	-6.10E-14
4.32E-05	1.53E-03	-9.27E-05	5.57E-04	-4.35E-05	1.64E-06	2.90E-09	7.64E-07	1.44E-09	1.07E-10	-5.86E-14	1.13E-10	-6.29E-14
4.37E-05	1.54E-03	-9.37E-05	5.62E-04	-4.39E-05	1.67E-06	2.96E-09	7.77E-07	1.47E-09	1.10E-10	-6.04E-14	1.16E-10	-6.48E-14
4.41E-05	1.56E-03	-9.46E-05	5.67E-04	-4.44E-05	1.70E-06	3.02E-09	7.91E-07	1.50E-09	1.13E-10	-6.22E-14	1.19E-10	-6.68E-14
4.45E-05	1.57E-03	-9.56E-05	5.73E-04	-4.48E-05	1.73E-06	3.08E-09	8.05E-07	1.53E-09	1.16E-10	-6.41E-14	1.23E-10	-6.88E-14
4.50E-05	1.59E-03	-9.65E-05	5.78E-04	-4.52E-05	1.76E-06	3.14E-09	8.19E-07	1.56E-09	1.19E-10	-6.61E-14	1.26E-10	-7.09E-14
4.54E-05	1.60E-03	-9.75E-05	5.84E-04	-4.57E-05	1.79E-06	3.20E-09	8.33E-07	1.60E-09	1.22E-10	-6.81E-14	1.29E-10	-7.30E-14
4.59E-05	1.62E-03	-9.84E-05	5.89E-04	-4.61E-05	1.82E-06	3.27E-09	8.47E-07	1.63E-09	1.26E-10	-7.01E-14	1.33E-10	-7.52E-14
4.63E-05	1.63E-03	-9.94E-05	5.95E-04	-4.66E-05	1.85E-06	3.33E-09	8.62E-07	1.66E-09	1.29E-10	-7.22E-14	1.36E-10	-7.75E-14
4.68E-05	1.65E-03	-1.00E-04	6.01E-04	-4.71E-05	1.89E-06	3.39E-09	8.76E-07	1.69E-09	1.32E-10	-7.43E-14	1.40E-10	-7.97E-14
4.72E-05	1.66E-03	-1.01E-04	6.06E-04	-4.75E-05	1.92E-06	3.46E-09	8.91E-07	1.73E-09	1.36E-10	-7.65E-14	1.43E-10	-8.21E-14
4.77E-05	1.68E-03	-1.02E-04	6.12E-04	-4.80E-05	1.95E-06	3.53E-09	9.06E-07	1.76E-09	1.39E-10	-7.87E-14	1.47E-10	-8.45E-14
4.82E-05	1.70E-03	-1.03E-04	6.17E-04	-4.84E-05	1.98E-06	3.60E-09	9.21E-07	1.79E-09	1.43E-10	-8.10E-14	1.51E-10	-8.69E-14
4.86E-05	1.71E-03	-1.04E-04	6.23E-04	-4.89E-05	2.01E-06	3.67E-09	9.36E-07	1.83E-09	1.46E-10	-8.34E-14	1.55E-10	-8.95E-14
4.91E-05	1.73E-03	-1.05E-04	6.29E-04	-4.94E-05	2.05E-06	3.74E-09	9.52E-07	1.86E-09	1.50E-10	-8.58E-14	1.59E-10	-9.20E-14
4.95E-05	1.74E-03	-1.06E-04	6.34E-04	-4.98E-05	2.08E-06	3.81E-09	9.67E-07	1.90E-09	1.54E-10	-8.82E-14	1.63E-10	-9.47E-14
